,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
49,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
50,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
51,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
52,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
53,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
54,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
55,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
56,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases
57,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
58,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
59,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
60,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
61,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
62,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0
63,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0
64,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,0
65,AIDS, muscle_wasting, patches_in_throat, high_fever,0
66,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
67,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
68,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0
69,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0
70,AIDS, muscle_wasting, patches_in_throat, high_fever,0
71,Diabetes , fatigue, weight_loss, restlessness, lethargy
72,Diabetes , fatigue, weight_loss, restlessness, lethargy
73,Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level
74,Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level
75,Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level
76,Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level
77,Diabetes , fatigue, weight_loss, restlessness, lethargy
78,Diabetes , fatigue, weight_loss, restlessness, lethargy
79,Diabetes , fatigue, weight_loss, restlessness, lethargy
80,Diabetes , fatigue, weight_loss, restlessness, lethargy
81,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
82,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
83,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,0
84,Gastroenteritis, vomiting, dehydration, diarrhoea,0
85,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,0
86,Gastroenteritis, vomiting, sunken_eyes, dehydration,0
87,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
88,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,0
89,Gastroenteritis, vomiting, dehydration, diarrhoea,0
90,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,0
91,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
92,Bronchial Asthma, cough, high_fever, breathlessness, family_history
93,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
94,Bronchial Asthma, fatigue, cough, breathlessness, family_history
95,Bronchial Asthma, fatigue, cough, high_fever, family_history
96,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
97,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
98,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
99,Bronchial Asthma, cough, high_fever, breathlessness, family_history
100,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
101,Hypertension , headache, chest_pain, dizziness, loss_of_balance
102,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
103,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
104,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
105,Hypertension , headache, chest_pain, dizziness, lack_of_concentration
106,Hypertension , headache, chest_pain, dizziness, loss_of_balance
107,Hypertension , headache, chest_pain, dizziness, loss_of_balance
108,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
109,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
110,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
111,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
112,Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
113,Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
114,Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
115,Migraine, acidity, indigestion, headache, excessive_hunger
116,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
117,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
118,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
119,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
120,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
121,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
122,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
123,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
124,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
125,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
126,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
127,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
128,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
129,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
130,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
131,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
132,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
133,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,0
134,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,0
135,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,0
136,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,0
137,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
138,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,0
139,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,0
140,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,0
141,Jaundice,itching, vomiting, fatigue, weight_loss
142,Jaundice,itching, vomiting, fatigue, weight_loss
143,Jaundice, vomiting, fatigue, weight_loss, high_fever
144,Jaundice,itching, fatigue, weight_loss, high_fever
145,Jaundice,itching, vomiting, weight_loss, high_fever
146,Jaundice,itching, vomiting, fatigue, high_fever
147,Jaundice,itching, vomiting, fatigue, weight_loss
148,Jaundice,itching, vomiting, fatigue, weight_loss
149,Jaundice,itching, vomiting, fatigue, weight_loss
150,Jaundice,itching, vomiting, fatigue, weight_loss
151,Malaria, chills, vomiting, high_fever, sweating
152,Malaria, chills, vomiting, high_fever, sweating
153,Malaria, chills, vomiting, high_fever, sweating
154,Malaria, vomiting, high_fever, sweating, headache
155,Malaria, chills, high_fever, sweating, headache
156,Malaria, chills, vomiting, sweating, headache
157,Malaria, chills, vomiting, high_fever, headache
158,Malaria, chills, vomiting, high_fever, sweating
159,Malaria, chills, vomiting, high_fever, sweating
160,Malaria, chills, vomiting, high_fever, sweating
161,Chicken pox,itching, skin_rash, fatigue, lethargy
162,Chicken pox, skin_rash, fatigue, lethargy, high_fever
163,Chicken pox,itching, fatigue, lethargy, high_fever
164,Chicken pox,itching, skin_rash, lethargy, high_fever
165,Chicken pox,itching, skin_rash, fatigue, high_fever
166,Chicken pox,itching, skin_rash, fatigue, lethargy
167,Chicken pox,itching, skin_rash, fatigue, lethargy
168,Chicken pox,itching, skin_rash, fatigue, lethargy
169,Chicken pox,itching, skin_rash, fatigue, lethargy
170,Chicken pox,itching, skin_rash, fatigue, lethargy
171,Dengue, skin_rash, chills, joint_pain, vomiting
172,Dengue, skin_rash, chills, joint_pain, vomiting
173,Dengue, skin_rash, chills, joint_pain, vomiting
174,Dengue, skin_rash, chills, joint_pain, vomiting
175,Dengue, chills, joint_pain, vomiting, fatigue
176,Dengue, skin_rash, joint_pain, vomiting, fatigue
177,Dengue, skin_rash, chills, vomiting, fatigue
178,Dengue, skin_rash, chills, joint_pain, fatigue
179,Dengue, skin_rash, chills, joint_pain, vomiting
180,Dengue, skin_rash, chills, joint_pain, vomiting
181,Typhoid, chills, vomiting, fatigue, high_fever
182,Typhoid, chills, vomiting, fatigue, high_fever
183,Typhoid, chills, vomiting, fatigue, high_fever
184,Typhoid, chills, vomiting, fatigue, high_fever
185,Typhoid, chills, vomiting, fatigue, high_fever
186,Typhoid, chills, vomiting, fatigue, high_fever
187,Typhoid, chills, vomiting, fatigue, high_fever
188,Typhoid, chills, vomiting, fatigue, high_fever
189,Typhoid, chills, vomiting, fatigue, high_fever
190,Typhoid, chills, fatigue, high_fever, headache
191,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
192,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
193,hepatitis A, vomiting, yellowish_skin, dark_urine, nausea
194,hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea
195,hepatitis A, joint_pain, vomiting, dark_urine, nausea
196,hepatitis A, joint_pain, vomiting, yellowish_skin, nausea
197,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
198,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
199,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
200,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
201,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
202,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
203,Hepatitis B, fatigue, lethargy, yellowish_skin, dark_urine
204,Hepatitis B,itching, lethargy, yellowish_skin, dark_urine
205,Hepatitis B,itching, fatigue, yellowish_skin, dark_urine
206,Hepatitis B,itching, fatigue, lethargy, dark_urine
207,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
208,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
209,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
210,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
211,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
212,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
213,Hepatitis C, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes
214,Hepatitis C, fatigue, nausea, loss_of_appetite, yellowing_of_eyes
215,Hepatitis C, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes
216,Hepatitis C, fatigue, yellowish_skin, nausea, yellowing_of_eyes
217,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
218,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
219,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
220,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
221,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
222,Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine
223,Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine
224,Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine
225,Hepatitis D, joint_pain, vomiting, fatigue, dark_urine
226,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
227,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
228,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
229,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
230,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
231,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
232,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
233,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
234,Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin
235,Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin
236,Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin
237,Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin
238,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
239,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
240,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
241,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
242,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
243,Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen
244,Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen
245,Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen
246,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen
247,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
248,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
249,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
250,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
251,Tuberculosis, chills, vomiting, fatigue, weight_loss
252,Tuberculosis, chills, vomiting, fatigue, weight_loss
253,Tuberculosis, vomiting, fatigue, weight_loss, cough
254,Tuberculosis, chills, fatigue, weight_loss, cough
255,Tuberculosis, chills, vomiting, weight_loss, cough
256,Tuberculosis, chills, vomiting, fatigue, cough
257,Tuberculosis, chills, vomiting, fatigue, weight_loss
258,Tuberculosis, chills, vomiting, fatigue, weight_loss
259,Tuberculosis, chills, vomiting, fatigue, weight_loss
260,Tuberculosis, chills, vomiting, fatigue, weight_loss
261,Common Cold, continuous_sneezing, chills, fatigue, cough
262,Common Cold, continuous_sneezing, chills, fatigue, cough
263,Common Cold, chills, fatigue, cough, high_fever
264,Common Cold, continuous_sneezing, fatigue, cough, high_fever
265,Common Cold, continuous_sneezing, chills, cough, high_fever
266,Common Cold, continuous_sneezing, chills, fatigue, high_fever
267,Common Cold, continuous_sneezing, chills, fatigue, cough
268,Common Cold, continuous_sneezing, chills, fatigue, cough
269,Common Cold, continuous_sneezing, chills, fatigue, cough
270,Common Cold, continuous_sneezing, chills, fatigue, cough
271,Pneumonia, chills, fatigue, cough, high_fever
272,Pneumonia, chills, fatigue, cough, high_fever
273,Pneumonia, chills, fatigue, cough, high_fever
274,Pneumonia, fatigue, cough, high_fever, breathlessness
275,Pneumonia, chills, cough, high_fever, breathlessness
276,Pneumonia, chills, fatigue, high_fever, breathlessness
277,Pneumonia, chills, fatigue, cough, breathlessness
278,Pneumonia, chills, fatigue, cough, high_fever
279,Pneumonia, chills, fatigue, cough, high_fever
280,Pneumonia, chills, fatigue, cough, high_fever
281,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
282,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
283,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
284,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
285,Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
286,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
287,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
288,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
289,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
290,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
291,Heart attack, vomiting, breathlessness, sweating, chest_pain
292,Heart attack, vomiting, breathlessness, sweating, chest_pain
293,Heart attack, breathlessness, sweating, chest_pain,0
294,Heart attack, vomiting, sweating, chest_pain,0
295,Heart attack, vomiting, breathlessness, chest_pain,0
296,Heart attack, vomiting, breathlessness, sweating,0
297,Heart attack, vomiting, breathlessness, sweating, chest_pain
298,Heart attack, breathlessness, sweating, chest_pain,0
299,Heart attack, vomiting, sweating, chest_pain,0
300,Heart attack, vomiting, breathlessness, chest_pain,0
301,Varicose veins, fatigue, cramps, bruising, obesity
302,Varicose veins, fatigue, cramps, bruising, obesity
303,Varicose veins, cramps, bruising, obesity, swollen_legs
304,Varicose veins, fatigue, bruising, obesity, swollen_legs
305,Varicose veins, fatigue, cramps, obesity, swollen_legs
306,Varicose veins, fatigue, cramps, bruising, swollen_legs
307,Varicose veins, fatigue, cramps, bruising, obesity
308,Varicose veins, fatigue, cramps, bruising, obesity
309,Varicose veins, fatigue, cramps, bruising, obesity
310,Varicose veins, fatigue, cramps, bruising, obesity
311,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
312,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
313,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
314,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
315,Hypothyroidism, fatigue, cold_hands_and_feets, mood_swings, lethargy
316,Hypothyroidism, fatigue, weight_gain, mood_swings, lethargy
317,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, lethargy
318,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
319,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
320,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
321,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
322,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
323,Hyperthyroidism, mood_swings, weight_loss, restlessness, sweating
324,Hyperthyroidism, fatigue, weight_loss, restlessness, sweating
325,Hyperthyroidism, fatigue, mood_swings, restlessness, sweating
326,Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating
327,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
328,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
329,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
330,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
331,Hypoglycemia, vomiting, fatigue, anxiety, sweating
332,Hypoglycemia, vomiting, fatigue, anxiety, sweating
333,Hypoglycemia, vomiting, fatigue, anxiety, sweating
334,Hypoglycemia, fatigue, anxiety, sweating, headache
335,Hypoglycemia, vomiting, anxiety, sweating, headache
336,Hypoglycemia, vomiting, fatigue, sweating, headache
337,Hypoglycemia, vomiting, fatigue, anxiety, headache
338,Hypoglycemia, vomiting, fatigue, anxiety, sweating
339,Hypoglycemia, vomiting, fatigue, anxiety, sweating
340,Hypoglycemia, vomiting, fatigue, anxiety, sweating
341,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
342,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
343,Osteoarthristis, neck_pain, knee_pain, hip_joint_pain, swelling_joints
344,Osteoarthristis, joint_pain, knee_pain, hip_joint_pain, swelling_joints
345,Osteoarthristis, joint_pain, neck_pain, hip_joint_pain, swelling_joints
346,Osteoarthristis, joint_pain, neck_pain, knee_pain, swelling_joints
347,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
348,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
349,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
350,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
351,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
352,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
353,Arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking
354,Arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking
355,Arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking
356,Arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking
357,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
358,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
359,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
360,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
361,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
362,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
363,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance
364,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss_of_balance
365,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance
366,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
367,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
368,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
369,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
370,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
371,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
372,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
373,Acne, pus_filled_pimples, blackheads, scurring,0
374,Acne, skin_rash, blackheads, scurring,0
375,Acne, skin_rash, pus_filled_pimples, scurring,0
376,Acne, skin_rash, pus_filled_pimples, blackheads,0
377,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
378,Acne, skin_rash, pus_filled_pimples, blackheads,0
379,Acne, skin_rash, pus_filled_pimples, scurring,0
380,Acne, skin_rash, blackheads, scurring,0
381,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
382,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
383,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,0
384,Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,0
385,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,0
386,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,0
387,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
388,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,0
389,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,0
390,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,0
391,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
392,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
393,Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
394,Psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
395,Psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
396,Psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
397,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
398,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
399,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
400,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
401,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
402,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
403,Impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
404,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
405,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
406,Impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
407,Impetigo, skin_rash, high_fever, blister, yellow_crust_ooze
408,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
409,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
410,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
411,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
412,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,0
413,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,0
414,Fungal infection,itching, skin_rash, dischromic _patches,0
